French,English
police,police
aide,help
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
corps,body
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
tellement,so much
enfant,child
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
loin,far
fin,end
chérie,sweetheart
gros,large
filles,girls
